Название,Количество_источников,Источники,Встречается_в_3х,Встречается_в_2х,Уникальная
остров сокровищ,1,labirint,False,False,True
гарри поттер и философский камень,2,"bookvoed, labirint",False,True,False
приключения алисы в стране чудес,1,labirint,False,False,True
мятная сказка,1,labirint,False,False,True
тайны анатомии,1,labirint,False,False,True
правдивая история деда мороза,1,labirint,False,False,True
читать вслух,1,labirint,False,False,True
волосы вероники,1,labirint,False,False,True
садко,1,labirint,False,False,True
трям! здравствуйте! и другие сказки,1,labirint,False,False,True
сонные сказки,1,labirint,False,False,True
сказки от слез,1,labirint,False,False,True
азбука превращений,1,labirint,False,False,True
про маленького поросенка плюха,1,labirint,False,False,True
полное собрание произведений о шерлоке холмсе в одном томе,1,labirint,False,False,True
ёлка. сто лет тому назад,1,labirint,False,False,True
календарь ма(й)я,1,labirint,False,False,True
новогодний городок. адвент-календарь,1,labirint,False,False,True
в грозную пору,1,labirint,False,False,True
"дом, который построил джек",1,labirint,False,False,True
тысяча сияющих солнц,1,labirint,False,False,True
большое путешествие по телу человека,1,labirint,False,False,True
игралочка. математика для детей 3-4 лет. ступень 1. фгос до,1,labirint,False,False,True
"к доске пойдет… василькин! школьные истории димы василькина, ученика 3 ""а"" класса",1,labirint,False,False,True
яблочки-пятки. стихи для самых маленьких,1,labirint,False,False,True
"невезучка: несколько смешных историй из жизни семилетнего человека, которому не везет",1,labirint,False,False,True
теория невероятностей. комплект из 2-х книг,1,labirint,False,False,True
великая отечественная война. 1941-1945,1,labirint,False,False,True
приключения шерлока холмса,1,labirint,False,False,True
бегущий за ветром,1,labirint,False,False,True
пропавшая буква,1,labirint,False,False,True
архипелаг гулаг. полное издание в одном томе,1,labirint,False,False,True
уроков не будет!,1,labirint,False,False,True
гарри поттер и тайная комната,1,labirint,False,False,True
сережик,1,labirint,False,False,True
елка. старинная забава,1,labirint,False,False,True
волшебник изумрудного города,2,"bookvoed, labirint",False,True,False
двенадцать месяцев. сказка для чтения и представления,1,labirint,False,False,True
подсознание может всё!,1,labirint,False,False,True
ледовое побоище,1,labirint,False,False,True
прогулки по лесу,1,labirint,False,False,True
снежный цветок и заветный веер,1,labirint,False,False,True
космобиолухи,1,labirint,False,False,True
1000 логических игр и головоломок,1,labirint,False,False,True
гарри поттер и узник азкабана,1,labirint,False,False,True
ветер в ивах,1,labirint,False,False,True
игралочка. математика для детей 4-5 лет. ступень 2. фгос до,1,labirint,False,False,True
на два голоса,1,labirint,False,False,True
сокровищница сказок. дисней,1,labirint,False,False,True
пётр i,1,labirint,False,False,True
пока мы были не с вами,1,labirint,False,False,True
украина це россия,1,labirint,False,False,True
новый год. жутко запутанное дело,1,labirint,False,False,True
азбука вежливости,1,labirint,False,False,True
чудо-радуга,1,labirint,False,False,True
"алиса в зазеркалье, или сквозь зеркало и что там увидела алиса",1,labirint,False,False,True
волшебные истории про еню и елю,1,labirint,False,False,True
классические сказки,1,labirint,False,False,True
если все кошки в мире исчезнут (покет),1,bookvoed,False,False,True
рассвет жатвы,1,bookvoed,False,False,True
кафе на краю земли,1,bookvoed,False,False,True
морана и тень. плетущая,1,bookvoed,False,False,True
тайна мертвого ректора. книга 2,1,bookvoed,False,False,True
самый богатый человек в вавилоне (львы),1,bookvoed,False,False,True
хороших девочек не убивают,1,bookvoed,False,False,True
твое сердце будет разбито,1,bookvoed,False,False,True
тайна мертвого ректора. книга 1,1,bookvoed,False,False,True
скорбь сатаны,1,bookvoed,False,False,True
канашибари. пока не погаснет последний фонарь. том 3,1,bookvoed,False,False,True
атомные привычки. как приобрести хорошие привычки и избавиться от плохих,1,bookvoed,False,False,True
