№,Название,Автор,Рейтинг,Статус
1,Желчный Ангел,Катя Качур,4.5,Хит!
2,Плетущая,Лия Арден,4.7,Новинка
3,Воспитание бабочек,Донато Карризи,4.4,Хит!
4,О детях Кощеевых,Алёна Селютина,4.4,Хит!
5,Заступа: Чернее черного (сб...,Иван Белов,4.6,Хит!
6,Хеску. Кровь Дома Базаард,Дина Шинигамова,4.6,Хит!
7,Злодейский путь!.. Том 5,Эл Моргот,4.7,Хит!
8,Туман. Вне измерений. Том 1,Вэйфэн Цзисюй,4.8,Хит!
9,Мужчина не моей мечты,Алиса Ардова,4.1,Хит!
10,Королевская кровь. Вороново...,Ирина Котова,4.7,Рейтинг 2024
11,Леди и Бродяга,Ксюша Левина,4.5,Новинка
12,Счастливого дня пробуждения,ParaCosm,4.4,Хит!
13,Невеста Стального дракона,Алёна Рю,4.4,Рейтинг 2025
14,Хозяйка ворон и железный до...,Галина Герасимова,4.7,Новинка
15,Саспыга,Карина Шаинян,3.7,Хит!
16,Секс был. Интимная жизнь Со...,Рустам Александер,4.2,Рейтинг 2025
17,Темный двойник Корсакова. О...,Игорь Евдокимов,4.5,Новинка
18,Сад эдельвейсов,Лили Мокашь,4.7,Новинка
19,Эйзен,Гузель Яхина,4.2,Хит!
20,Сплетня,Катя Саммер,4.6,Новинка
21,Сны и рассказы,Вальтер Беньямин,3.0,Новинка
22,Смех бессмертных,Денис Лукьянов,4.5,Новинка
23,Мертвым можно все (сборник),Дана Арнаутова,4.8,Новинка
24,Волшебные коньки,Евгения Русинова,4.4,
25,"Три жизни, три мира: Записк...",Танци Гунцзы,4.4,
26,Повелитель демонов влюбился...,Da Hu,4.4,
27,Девять хвостов бессмертного...,Джин Соул,4.6,Новинка
28,"Каллиопа, дерево, Кориск",Роман Шмараков,4.5,
29,Прах и пепел (сборник),Владимир Чубуков,4.5,Новинка
30,Устинья. Возвращение,Галина Гончарова,3.8,
31,"Все как ты хотел, или (Не) ...",Франциска Вудворт,4.9,Новинка
32,Караваджо: Палитра и шпага....,Мило Манара,4.4,
33,Бесшабашный. Книга 4. По се...,Корнелия Функе,4.6,
34,Убийство в Британском музее,Джим Элдридж,4.0,Хит!
35,Мы разобьемся как лед,Даде Айла,3.6,
36,Сердце василиска (сборник),Елена Малиновская,3.5,
37,Рыцарь моего лета,Таня Свон,4.8,
38,Магия текста. Как колдовать...,Марина Голубева,4.6,
39,Шепот в тишине. Мистические...,Татьяна Мастрюкова,4.5,Новинка
40,Человек-бензопила. Книга 13,Тацуки Фудзимото,4.0,
41,Некромант-одиночка. Новелла...,JJJ,4.3,
42,Королева со скальпелем. Док...,Ю Ин,4.4,
43,Любовь в одно касание,Вера Лейман,4.2,
44,Зоопарк. Звериная история,Евгения Русинова,4.8,
45,"Злодейка, перевернувшая пес...",Сан Со Би,4.6,
46,Вий. Графический роман,Автор не указан,3.4,
47,Naruto. Наруто. Книга 17. С...,Масаси Кисимото,4.6,
48,Климт: золото модерна,Жан-Люк Корнетт,4.2,
49,Высшая каста,Вадим Панов,4.2,
50,Отныне я гадкий утенок в се...,Чон Хаим,4.3,
51,Падчерица смерти (сборник),Дана Арнаутова,4.5,
52,В лунном свете меркнет плам...,Ченшуан Байлу,4.4,
53,Новые чудеса Дивнозёрья,Алан Чароит,4.6,
54,Удивительные сказания Дивно...,Алан Чароит,4.7,
55,Под покровом тишины. Книга ...,Татьяна Лакизюк,4.6,
56,Цвет,Автор не указан,4.3,
57,Как читать книги? (сборник),Вирджиния Вулф,4.6,
58,Тайна кошачьего братства,Евгений Гаглоев,4.9,
59,Почему Офелия не может поки...,DAUM,3.7,
60,Заглянувший,А. Райнер,4.7,
